yyyyWW,Date,Rank,Title,Code,OpenDate,Weekly,Total,Genre
201801,20180101~20180107,1,신과함께-죄와 벌,20150976,2017-12-20,2962764,11502259,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
201801,20180101~20180107,2,1987,20170590,2017-12-27,2147221,4089298,[{'genreNm': '드라마'}]
201801,20180101~20180107,3,쥬만지: 새로운 세계,20171909,2018-01-03,891970,894544,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}]"
201801,20180101~20180107,4,페르디난드,20177104,2018-01-03,354109,355767,"[{'genreNm': '애니메이션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}]"
201801,20180101~20180107,5,강철비,20170402,2017-12-14,336435,4350728,"[{'genreNm': '액션'}, {'genreNm': '드라마'}]"
201801,20180101~20180107,6,위대한 쇼맨,20179462,2017-12-20,257299,1071884,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}]"
201801,20180101~20180107,7,극장판 포켓몬스터 너로 정했다!,20174965,2017-12-21,83275,498530,"[{'genreNm': '애니메이션'}, {'genreNm': '어드벤처'}, {'genreNm': '가족'}]"
201801,20180101~20180107,8,원더,20176947,2017-12-27,66005,147685,[{'genreNm': '드라마'}]
201801,20180101~20180107,9,몬스터 패밀리,20176082,2017-12-21,52538,394152,[{'genreNm': '애니메이션'}]
201801,20180101~20180107,10,뽀로로 극장판 공룡섬 대모험,20174846,2017-12-07,38931,812674,[{'genreNm': '애니메이션'}]
201802,20180108~20180114,1,1987,20170590,2017-12-27,1697548,5786846,[{'genreNm': '드라마'}]
201802,20180108~20180114,2,신과함께-죄와 벌,20150976,2017-12-20,1341787,12844046,"[{'genreNm': '판타지'}, {'genreNm': '드라마'}]"
201802,20180108~20180114,3,코코,20179985,2018-01-11,843778,849975,[{'genreNm': '애니메이션'}]
201802,20180108~20180114,4,쥬만지: 새로운 세계,20171909,2018-01-03,624447,1518991,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}]"
201802,20180108~20180114,5,페르디난드,20177104,2018-01-03,140234,496001,"[{'genreNm': '애니메이션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}]"
