0,1,2,3,4,5
201801,1,첫눈처럼 너에게 가겠다,에일리,도깨비 OST Part.9,"발라드, 국내드라마"
201801,2,짙어져,멜로망스,Yellow OST Part.2,"록/메탈, 국내드라마"
201801,3,처음부터 너와 나,볼빨간사춘기,군주 - 가면의 주인 OST Part.2,"발라드, 국내드라마"
201801,4,좋았을걸,헤이즈 (Heize),슬기로운 감빵생활 OST Part.5,"발라드, 국내드라마"
201801,5,갈 수가 없어,벤,이번 생은 처음이라 OST Part.8,"발라드, 국내드라마"
201801,6,너였다면,정승환,또 오해영 OST Part.5,"발라드, 국내드라마"
201801,7,Beautiful,Crush,도깨비 OST Part 4,"발라드, R&B/Soul, 국내드라마"
201801,8,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201801,9,결혼,문문 (MoonMoon),이번 생은 처음이라 OST Part.4,"발라드, 국내드라마"
201801,10,See You Again (폴 워커 추모 엔딩곡),Charlie Puth,분노의 질주: 더 세븐 OST,"랩/힙합, 국외영화"
201801,11,My Way,이수 (엠씨 더 맥스),돈꽃 OST Part.1,"발라드, 국내드라마"
201801,12,Never Enough,Loren Allred,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201801,13,눈의 꽃,박효신,미안하다 사랑한다 OST,국내드라마
201801,14,첫 눈,정준일,도깨비 OST Part.8,"발라드, 국내드라마"
201801,15,The Greatest Show,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,국외영화
201801,16,Rewrite The Stars,Zac Efron,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201801,17,Let Me Out,뉴이스트 W,화유기 OST Part.1,"댄스, 국내드라마"
201801,18,걱정말아요 그대,이적,응답하라 1988 OST Part.2,"발라드, 국내드라마"
201801,19,Stay With Me,찬열 (CHANYEOL),도깨비 OST Part.1,"발라드, 랩/힙합, 국내드라마"
201801,20,바람의 노래,소향,고백부부 OST Part.2,"발라드, 국내드라마"
201801,21,I Miss You,소유 (SOYOU),도깨비 OST Part.7,"발라드, 국내드라마"
201801,22,The Other Side,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201801,23,Lost Stars,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,"POP, 록/메탈, 국외영화"
201801,24,향수 (Prod. by WOOGIE),우원재,슬기로운 감빵생활 OST Part.6,"랩/힙합, 국내드라마"
201801,25,"City Of Stars (From ""La La Land"" Soundtrack)",Ryan Gosling,라라 랜드 OST,"POP, 국외영화"
201801,26,꽃비,폴킴,흑기사 OST Part.4,"발라드, 국내드라마"
201801,27,이 사랑,다비치,태양의 후예 OST Part.3,"발라드, 국내드라마"
201801,28,소녀,오혁,응답하라 1988 OST Part.3,"발라드, 국내드라마"
201801,29,You Are My Everything,거미,태양의 후예 OST Part.4,"발라드, 국내드라마"
201801,30,A Million Dreams,Ziv Zaifman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201801,31,오늘도 그리워 그리워,다비치,당신이 잠든 사이에 OST Part.7,"발라드, 국내드라마"
201801,32,"Bravo, My Life!",에릭남 (Eric Nam),슬기로운 감빵생활 OST Part.4,"발라드, R&B/Soul, 국내드라마"
201801,33,바라보기,엠씨더맥스,미녀의 탄생 OST Part 4,"발라드, 국내드라마"
201801,34,그림자,휘인 (Whee In),Yellow OST Part.1,"발라드, 국내드라마"
201801,35,With You,길구봉구,흑기사 OST Part.5,"발라드, 국내드라마"
201801,36,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
