0,1,2,3,4,5
201901,1,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part.3,"발라드, 국내드라마"
201901,2,내 생에 아름다운,케이윌,뷰티 인사이드 OST Part.4,"발라드, 국내드라마"
201901,3,꿈처럼 내린,다비치,뷰티 인사이드 OST Part.3,"발라드, 국내드라마"
201901,4,사랑 알 수 없나봐,폴킴,WHY : 당신이 연인에게 차인 진짜 이유 OST - Part.3,"발라드, 국내드라마"
201901,5,첫눈처럼 너에게 가겠다,에일리,도깨비 OST Part.9,"발라드, 국내드라마"
201901,6,I`m Here,양다일,알함브라 궁전의 추억 OST Part 5,"발라드, 국내드라마"
201901,7,We all lie,하진,SKY 캐슬 OST Part.4,"록/메탈, 국내드라마"
201901,8,Goodbye,웬디 (WENDY),뷰티 인사이드 OST Part.6,"발라드, 국내드라마"
201901,9,My Way,이수 (엠씨 더 맥스),돈꽃 OST Part.1,"발라드, 국내드라마"
201901,10,잘 지내요,정승환,라이프 OST Part.6,"발라드, 국내드라마"
201901,11,좋은 날,멜로망스,미스터 션샤인 OST Part.5,"발라드, 국내드라마"
201901,12,Is You,에일리,알함브라 궁전의 추억 OST Part 3,"발라드, 국내드라마"
201901,13,너였다면,정승환,또 오해영 OST Part.5,"발라드, 국내드라마"
201901,14,Beautiful,Crush,도깨비 OST Part 4,"발라드, R&B/Soul, 국내드라마"
201901,15,눈의 꽃,박효신,미안하다 사랑한다 OST,국내드라마
201901,16,그 밤,에릭남 (Eric Nam),남자친구 OST Part 4,"발라드, 국내드라마"
201901,17,Lost Stars,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,"POP, 록/메탈, 국외영화"
201901,18,도망가지마,모트 (Motte),A-TEEN Part.4,"R&B/Soul, 국내드라마"
201901,19,See You Again (폴 워커 추모 엔딩곡),Charlie Puth,분노의 질주: 더 세븐 OST,"랩/힙합, 국외영화"
201901,20,어른,Sondia,나의 아저씨 OST Part.2,"발라드, 국내드라마"
201901,21,Bohemian Rhapsody,Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST),"록/메탈, 국외영화"
201901,22,있잖아,폴킴,연애플레이리스트2 OST Part.2,"발라드, 국내드라마"
201901,23,Perfect,10cm,연애플레이리스트3 Part.1,"발라드, 국내드라마"
201901,24,소녀,오혁,응답하라 1988 OST Part.3,"발라드, 국내드라마"
201901,25,구름,로시 (Rothy),뷰티 인사이드 OST Part.1,"R&B/Soul, 국내드라마"
201901,26,그대여야만 해요,백아연,남자친구 OST Part 7,"발라드, 국내드라마"
201901,27,My Trouble,볼빨간사춘기,WHY : 당신이 연인에게 차인 진짜 이유 OST - Part.1,"포크/블루스, 국내드라마"
201901,28,벚꽃연가,첸 (CHEN),백일의 낭군님 OST Part 3,"발라드, 국내드라마"
201901,29,걱정말아요 그대,이적,응답하라 1988 OST Part.2,"발라드, 국내드라마"
201901,30,처음부터 너와 나,볼빨간사춘기,군주 - 가면의 주인 OST Part.2,"발라드, 국내드라마"
201901,31,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),"랩/힙합, 국외영화"
201901,32,그대가 이렇게 내 맘에,이소라,남자친구 OST Part 2,"발라드, 국내드라마"
201901,33,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"발라드, 국내드라마"
201901,34,너에게,김민석,연애플레이리스트3 Part.2,"발라드, 국내드라마"
201901,35,Shallow,Lady GaGa,A Star Is Born Soundtrack,"POP, 국외영화"
201901,36,별 (Little Prince),로꼬,알함브라 궁전의 추억 OST Part 1,"랩/힙합, 국내드라마"
201901,37,첫 눈,정준일,도깨비 OST Part.8,"발라드, 국내드라마"
201901,38,꿈처럼,벤,또 오해영 OST Part.2,"발라드, 국내드라마"
201901,39,왜 몰랐을까,로이킴,아는 와이프 OST Part.3,"발라드, 국내드라마"
201901,40,"City Of Stars (From ""La La Land"" Soundtrack)",Ryan Gosling,라라 랜드 OST,"POP, 국외영화"
201901,41,You Are My Everything,거미,태양의 후예 OST Part.4,"발라드, 국내드라마"
201901,42,영화 같던 날,CHEEZE (치즈),남자친구 OST Part 1,"발라드, 국내드라마"
201901,43,짙어져,멜로망스,Yellow OST Part.2,"록/메탈, 국내드라마"
201901,44,결혼,문문 (MoonMoon),이번 생은 처음이라 OST Part.4,"발라드, 국내드라마"
201901,45,망설이지 마요,용준형,남자친구 OST Part 3,"발라드, 국내드라마"
201901,47,I Miss You,소유 (SOYOU),도깨비 OST Part.7,"발라드, 국내드라마"
201901,48,설렘,오왠 (O.WHEN),남자친구 OST Part 5,"발라드, 국내드라마"
201901,49,이 사랑,다비치,태양의 후예 OST Part.3,"발라드, 국내드라마"
201901,50,Stay With Me,찬열 (CHANYEOL),도깨비 OST Part.1,"발라드, 랩/힙합, 국내드라마"
201901,51,Radio Ga Ga (Live Aid),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST),"록/메탈, 국외영화"
20191,52,Bohemian Rhapsody (Live Aid),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST),"록/메탈, 국외영화"
20191,53,A-TEEN,세븐틴,A-TEEN Part.3,"랩/힙합, 국내드라마"
20191,54,"묘해, 너와",어쿠스틱 콜라보,연애의 발견 OST Part 4,"발라드, 국내드라마"
20191,55,Love Of My Life (Live At Rock In Rio),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST),"POP, 국외영화"
20191,56,기다릴게,하동균,공주의 남자 OST Part.3,"발라드, 국내드라마"
20191,57,바라보기,엠씨더맥스,미녀의 탄생 OST Part 4,"발라드, 국내드라마"
20191,58,너무 보고싶어,어쿠스틱 콜라보,연애의 발견 OST Part 6,"발라드, 국내드라마"
20191,59,이쁘다니까,에디킴,도깨비 OST Part.5,"발라드, 국내드라마"
20191,60,STAY,효린,동네변호사 조들호2 : 죄와 벌 OST Part.1,"R&B/Soul, 국내드라마"
20191,61,시간을 거슬러,린,해를 품은 달 OST,발라드
20191,62,잊지 말아요,백지영,아이리스 OST (Part 1),발라드
20191,63,미워도 다시 한 번,벤,리플리 Vol.3,"발라드, 국내드라마"
20191,64,그대라서,거미,크리스마스에 눈이 올까요? OST,"발라드, 국내드라마"
20191,65,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
20191,66,All For You,서인국,응답하라 1997 Love Story Part 1,발라드
20191,67,Take Me On,솔튼페이퍼,남자친구 OST Part 6,"발라드, 국내드라마"
20191,68,갈 수가 없어,벤,이번 생은 처음이라 OST Part.8,"발라드, 국내드라마"
20191,69,눈꽃,거미,"그 겨울, 바람이 분다 OST Part.3","발라드, 국내드라마"
20191,70,Strawberries & Cigarettes,Troye Sivan,"Love, Simon OST (영화 ‘러브 사이먼’ 오리지널 사운드트랙)","POP, 국외영화"
20191,71,How Long Will I Love You,Ellie Goulding,어바웃타임 OST,"록/메탈, 국외영화"
20191,72,Somebody To Love,Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST),"록/메탈, 국외영화"
