yyyyWW,Date,Rank,Title,Code,OpenDate,Weekly,Total,Genre
201801,20180101~20180107,6,위대한 쇼맨,20179462,2017-12-20,257299,1071884,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}]"
201802,20180108~20180114,6,위대한 쇼맨,20179462,2017-12-20,139590,1211474,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}]"
201803,20180115~20180121,7,위대한 쇼맨,20179462,2017-12-20,68998,1280472,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}]"
201804,20180122~20180128,8,위대한 쇼맨,20179462,2017-12-20,38807,1319279,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}]"
201802,20180108~20180114,3,코코,20179985,2018-01-11,843778,849975,[{'genreNm': '애니메이션'}]
201803,20180115~20180121,2,코코,20179985,2018-01-11,953047,1803022,[{'genreNm': '애니메이션'}]
201804,20180122~20180128,2,코코,20179985,2018-01-11,753208,2556230,[{'genreNm': '애니메이션'}]
201805,20180129~20180204,3,코코,20179985,2018-01-11,491374,3047604,[{'genreNm': '애니메이션'}]
201806,20180205~20180211,3,코코,20179985,2018-01-11,247543,3295147,[{'genreNm': '애니메이션'}]
201807,20180212~20180218,7,코코,20179985,2018-01-11,136122,3431269,[{'genreNm': '애니메이션'}]
201808,20180219~20180225,10,코코,20179985,2018-01-11,57691,3488960,[{'genreNm': '애니메이션'}]
201839,20180924~20180930,9,에그엔젤 코코밍: 두근두근 핼러윈 파티,20180167,2018-09-22,26043,42980,[{'genreNm': '애니메이션'}]
201807,20180212~20180218,3,골든슬럼버,20168250,2018-02-14,976986,982631,"[{'genreNm': '범죄'}, {'genreNm': '드라마'}]"
201808,20180219~20180225,2,골든슬럼버,20168250,2018-02-14,344961,1327592,"[{'genreNm': '범죄'}, {'genreNm': '드라마'}]"
201831,20180730~20180805,7,맘마미아!2,20181942,2018-08-08,68527,75214,[{'genreNm': '뮤지컬'}]
201832,20180806~20180812,3,맘마미아!2,20181942,2018-08-08,786242,861456,[{'genreNm': '뮤지컬'}]
201833,20180813~20180819,4,맘마미아!2,20181942,2018-08-08,720754,1582210,[{'genreNm': '뮤지컬'}]
201834,20180820~20180826,5,맘마미아!2,20181942,2018-08-08,374831,1957041,[{'genreNm': '뮤지컬'}]
201835,20180827~20180902,7,맘마미아!2,20181942,2018-08-08,202084,2159125,[{'genreNm': '뮤지컬'}]
