yyyyWW,Rank,Title,Artist,Album,Genre
201801,8,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201801,12,Never Enough,Loren Allred,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201801,15,The Greatest Show,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,국외영화
201801,16,Rewrite The Stars,Zac Efron,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201801,22,The Other Side,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201801,30,A Million Dreams,Ziv Zaifman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201801,40,Come Alive,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201801,44,From Now On,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201801,55,Tightrope,Michelle Williams,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201801,93,A Million Dreams (Reprise),Austyn Johnson,위대한 쇼맨 (The Greatest Showman) OST,국외영화
201802,6,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201802,13,Never Enough,Loren Allred,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201802,16,Rewrite The Stars,Zac Efron,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201802,18,The Greatest Show,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,국외영화
201802,25,The Other Side,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201802,30,A Million Dreams,Ziv Zaifman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201802,41,Come Alive,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201802,45,From Now On,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201802,59,Tightrope,Michelle Williams,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201803,7,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201803,14,Never Enough,Loren Allred,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201803,15,Rewrite The Stars,Zac Efron,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201803,17,The Greatest Show,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,국외영화
201803,30,The Other Side,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201803,34,A Million Dreams,Ziv Zaifman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201803,45,Come Alive,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201803,47,From Now On,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201803,65,Tightrope,Michelle Williams,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201804,10,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201804,17,Never Enough,Loren Allred,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201804,22,Rewrite The Stars,Zac Efron,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201804,29,The Greatest Show,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,국외영화
201804,38,The Other Side,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201804,44,A Million Dreams,Ziv Zaifman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201804,54,Come Alive,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201804,59,From Now On,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201804,88,Tightrope,Michelle Williams,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201805,13,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201805,22,Never Enough,Loren Allred,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201805,27,Rewrite The Stars,Zac Efron,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201805,31,The Greatest Show,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,국외영화
201805,43,The Other Side,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201805,48,A Million Dreams,Ziv Zaifman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201805,70,Come Alive,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201805,79,From Now On,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201805,100,Tightrope,Michelle Williams,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201806,14,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201806,25,Never Enough,Loren Allred,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201806,30,Rewrite The Stars,Zac Efron,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201806,35,The Greatest Show,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,국외영화
