yyyyWW,Date,Rank,Title,Code,OpenDate,Weekly,Total,Genre
201932,20190805~20190811,10,김복동,20190741,2019-08-08,27053,29397,[{'genreNm': '다큐멘터리'}]
201919,20190506~20190512,9,어글리 돌,20197147,2019-05-01,13275,50816,[{'genreNm': '애니메이션'}]
201845,20181105~20181111,9,스타 이즈 본,20180523,2018-10-09,33777,458917,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}]"
201804,20180122~20180128,8,위대한 쇼맨,20179462,2017-12-20,38807,1319279,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}]"
201808,20180219~20180225,2,골든슬럼버,20168250,2018-02-14,344961,1327592,"[{'genreNm': '범죄'}, {'genreNm': '드라마'}]"
201837,20180910~20180916,7,맘마미아!2,20181942,2018-08-08,33836,2280120,[{'genreNm': '뮤지컬'}]
201808,20180219~20180225,10,코코,20179985,2018-01-11,57691,3488960,[{'genreNm': '애니메이션'}]
201932,20190805~20190811,7,라이온 킹,20175771,2019-07-17,184053,4684247,"[{'genreNm': '어드벤처'}, {'genreNm': '드라마'}, {'genreNm': '가족'}]"
201948,20191125~20191201,1,겨울왕국 2,20197803,2019-11-21,4145778,8583517,[{'genreNm': '애니메이션'}]
201904,20190121~20190127,8,보헤미안 랩소디,20185485,2018-10-31,43896,9910706,[{'genreNm': '드라마'}]
201933,20190812~20190818,10,알라딘,20183867,2019-05-23,61146,12501428,"[{'genreNm': '어드벤처'}, {'genreNm': '가족'}, {'genreNm': '판타지'}]"
