yyyyWW,Rank,Title,Artist,Album,Genre
201924,1,Speechless (Full),Naomi Scott,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201948,1,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)",Idina Menzel,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)/ 겨울왕국 2 OST,"POP, 애니메이션/웹툰, 키즈, 만화"
201925,2,A Whole New World,Mena Massoud,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201926,4,Arabian Nights (2019),Will Smith,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201948,4,"Show Yourself (From ""Frozen 2""/Soundtrack Version)",Idina Menzel,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)/ 겨울왕국 2 OST,"POP, 애니메이션/웹툰, 키즈, 만화"
201927,5,Prince Ali,Will Smith,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201948,6,"숨겨진 세상 (Into the Unknown End Credit Version) (""겨울왕국 2"")",태연 (TAEYEON),겨울왕국 2 (한국어 버전),"발라드, 애니메이션/웹툰, 키즈, 만화"
201849,9,Bohemian Rhapsody,Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
201925,9,Friend Like Me,Will Smith,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201948,14,"Some Things Never Change (From ""Frozen 2""/Soundtrack Version)",Kristen Bell,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)/ 겨울왕국 2 OST,"POP, 애니메이션/웹툰, 키즈, 만화"
201948,17,"All Is Found (From ""Frozen 2""/Soundtrack Version)",Evan Rachel Wood,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)/ 겨울왕국 2 OST,"POP, 애니메이션/웹툰, 키즈, 만화"
201948,18,"The Next Right Thing (From ""Frozen 2""/Soundtrack Version)",Kristen Bell,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)/ 겨울왕국 2 OST,"POP, 애니메이션/웹툰, 키즈, 만화"
201849,18,Bohemian Rhapsody?(Live Aid),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
201926,18,Speechless (Part 2),Naomi Scott,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201926,19,One Jump Ahead,Mena Massoud,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"POP, 국외영화"
201948,19,"Lost in the Woods (From ""Frozen 2""/Soundtrack Version)",Jonathan Groff,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)/ 겨울왕국 2 OST,"POP, 애니메이션/웹툰, 키즈, 만화"
201849,22,Radio Ga Ga?(Live Aid),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
201948,25,"Into the Unknown (From ""Frozen 2""/Panic! At The Disco Version)",Panic! At The Disco,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)/ 겨울왕국 2 OST,"록/메탈, 애니메이션/웹툰, 키즈, 만화"
201948,26,"When I Am Older (From ""Frozen 2""/Soundtrack Version)",Josh Gad,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)/ 겨울왕국 2 OST,"애니메이션/웹툰, 키즈, 만화"
201847,26,Love Of My Life?(Live At Rock In Rio),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"POP, 국외영화"
201848,28,Somebody To Love,Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
201948,29,"숨겨진 세상 (""겨울왕국 2"")",Hye Na Park,겨울왕국 2 (한국어 버전),"애니메이션/웹툰, 키즈, 만화"
201849,31,Ay-Oh?(Live Aid),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),국외영화
201848,32,We Will Rock You?(Movie Mix),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
201849,32,We Are The Champions?(Live Aid),Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
201948,33,"Reindeer(s) Are Better Than People (Cont.) (From ""Frozen 2""/Soundtrack Version)",Jonathan Groff,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)/ 겨울왕국 2 OST,"애니메이션/웹툰, 키즈, 만화"
201924,35,Friend Like Me (End Title) (Feat. DJ Khaled),Will Smith,Aladdin (Original Motion Picture Soundtrack)/영화 알라딘 OST,"랩/힙합, 국외영화"
201848,40,Killer Queen,Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody?OST),"록/메탈, 국외영화"
